frame_id,timestamp_ms,x1,y1,x2,y2,status,track_state,occlusion_age,detector_source,x_cam,y_cam,z_cam,x_world,y_world,z_world,conf,x_world_raw,y_world_raw,z_world_raw,x_world_filt,y_world_filt,z_world_filt,sigma_x,sigma_y,sigma_z,mu_stationary,gate_d2
19,634,785.41,481.02,1161.61,824.87,detected,CONFIRMED,0,blue_hsv_shape,0.0171,0.0939,1.5658,1.2307,-0.0246,0.3250,0.913,1.2288,-0.0171,0.3250,1.2307,-0.0246,0.3250,0.0423,0.0423,0.0422,0.659,0.0076
20,667,783.67,480.95,1162.17,826.01,detected,CONFIRMED,0,blue_hsv_shape,0.0163,0.0950,1.5642,1.2272,-0.0246,0.3250,0.914,1.2268,-0.0163,0.3250,1.2272,-0.0246,0.3250,0.0418,0.0418,0.0417,0.668,0.0093
21,701,782.80,480.96,1164.30,827.94,detected,CONFIRMED,0,blue_hsv_shape,0.0171,0.0969,1.5615,1.2238,-0.0246,0.3250,0.915,1.2235,-0.0171,0.3250,1.2238,-0.0246,0.3250,0.0413,0.0413,0.0412,0.675,0.0054
22,734,781.41,480.84,1166.42,827.97,detected,CONFIRMED,0,blue_hsv_shape,0.0176,0.0970,1.5614,1.2210,-0.0246,0.3250,0.913,1.2234,-0.0176,0.3250,1.2210,-0.0246,0.3250,0.0409,0.0409,0.0408,0.687,0.0080
23,767,780.58,480.77,1167.63,827.76,detected,CONFIRMED,0,blue_hsv_shape,0.0178,0.0967,1.5617,1.2189,-0.0245,0.3250,0.913,1.2238,-0.0178,0.3250,1.2189,-0.0245,0.3250,0.0406,0.0406,0.0405,0.702,0.0107
24,801,779.25,480.82,1169.11,828.41,detected,CONFIRMED,0,blue_hsv_shape,0.0179,0.0974,1.5608,1.2170,-0.0244,0.3250,0.914,1.2227,-0.0179,0.3250,1.2170,-0.0244,0.3250,0.0403,0.0403,0.0403,0.718,0.0088
25,834,777.58,480.97,1170.80,830.63,detected,STATIONARY,0,blue_hsv_shape,0.0179,0.0996,1.5576,1.2149,-0.0241,0.3250,0.913,1.2188,-0.0179,0.3250,1.2149,-0.0241,0.3250,0.0401,0.0401,0.0401,0.730,0.0048
26,868,775.25,480.61,1173.10,833.36,detected,STATIONARY,0,blue_hsv_shape,0.0178,0.1023,1.5538,1.2123,-0.0238,0.3250,0.914,1.2141,-0.0178,0.3250,1.2123,-0.0238,0.3250,0.0399,0.0399,0.0399,0.737,0.0041
27,901,772.86,480.68,1174.38,840.80,detected,STATIONARY,0,blue_hsv_shape,0.0170,0.1096,1.5433,1.2079,-0.0233,0.3250,0.916,1.2013,-0.0170,0.3250,1.2079,-0.0233,0.3250,0.0398,0.0398,0.0398,0.728,0.0293
28,934,771.48,480.47,1175.07,845.36,detected,CONFIRMED,0,blue_hsv_shape,0.0165,0.1141,1.5370,1.2027,-0.0227,0.3250,0.916,1.1936,-0.0165,0.3250,1.2027,-0.0227,0.3250,0.0397,0.0397,0.0397,0.713,0.0181
29,968,769.95,478.92,1177.22,836.72,detected,STATIONARY,0,blue_hsv_shape,0.0170,0.1056,1.5490,1.2011,-0.0222,0.3250,0.915,1.2083,-0.0170,0.3250,1.2011,-0.0222,0.3250,0.0396,0.0396,0.0396,0.729,0.0687
30,1001,768.15,478.38,1178.41,832.75,detected,STATIONARY,0,blue_hsv_shape,0.0167,0.1017,1.5546,1.2012,-0.0216,0.3250,0.913,1.2151,-0.0167,0.3250,1.2012,-0.0216,0.3250,0.0396,0.0396,0.0396,0.758,0.0477
31,1034,766.25,478.38,1179.93,832.09,detected,STATIONARY,0,blue_hsv_shape,0.0165,0.1010,1.5556,1.2017,-0.0210,0.3250,0.912,1.2163,-0.0165,0.3250,1.2017,-0.0210,0.3250,0.0395,0.0395,0.0395,0.788,0.0249
32,1068,764.22,478.58,1180.72,833.19,detected,STATIONARY,0,blue_hsv_shape,0.0157,0.1021,1.5540,1.2020,-0.0202,0.3250,0.913,1.2144,-0.0157,0.3250,1.2020,-0.0202,0.3250,0.0395,0.0395,0.0395,0.813,0.0128
33,1101,763.11,478.72,1181.10,833.98,detected,STATIONARY,0,blue_hsv_shape,0.0152,0.1029,1.5529,1.2023,-0.0195,0.3250,0.913,1.2130,-0.0152,0.3250,1.2023,-0.0195,0.3250,0.0395,0.0395,0.0395,0.835,0.0111
34,1134,760.68,478.91,1181.09,835.95,detected,STATIONARY,0,blue_hsv_shape,0.0137,0.1049,1.5501,1.2021,-0.0185,0.3250,0.912,1.2096,-0.0137,0.3250,1.2021,-0.0185,0.3250,0.0395,0.0395,0.0395,0.851,0.0058
35,1168,758.37,479.08,1180.95,838.66,detected,STATIONARY,0,blue_hsv_shape,0.0121,0.1075,1.5463,1.2012,-0.0173,0.3250,0.912,1.2050,-0.0121,0.3250,1.2012,-0.0173,0.3250,0.0395,0.0395,0.0395,0.858,0.0037
36,1201,755.19,479.20,1180.71,841.78,detected,STATIONARY,0,blue_hsv_shape,0.0099,0.1106,1.5419,1.1996,-0.0158,0.3250,0.911,1.1997,-0.0099,0.3250,1.1996,-0.0158,0.3250,0.0395,0.0395,0.0395,0.856,0.0059
37,1235,752.43,479.30,1180.52,845.59,detected,STATIONARY,0,blue_hsv_shape,0.0081,0.1143,1.5366,1.1970,-0.0142,0.3250,0.912,1.1932,-0.0081,0.3250,1.1970,-0.0142,0.3250,0.0395,0.0395,0.0395,0.847,0.0100
38,1268,750.96,479.22,1180.45,847.84,detected,STATIONARY,0,blue_hsv_shape,0.0071,0.1165,1.5335,1.1942,-0.0125,0.3250,0.912,1.1894,-0.0071,0.3250,1.1942,-0.0125,0.3250,0.0395,0.0395,0.0395,0.835,0.0054
39,1301,747.54,479.18,1182.16,850.47,detected,STATIONARY,0,blue_hsv_shape,0.0060,0.1190,1.5299,1.1910,-0.0109,0.3250,0.914,1.1849,-0.0060,0.3250,1.1910,-0.0109,0.3250,0.0395,0.0395,0.0395,0.820,0.0071
40,1335,743.30,479.12,1185.63,852.86,detected,STATIONARY,0,blue_hsv_shape,0.0055,0.1213,1.5266,1.1875,-0.0094,0.3250,0.917,1.1809,-0.0055,0.3250,1.1875,-0.0094,0.3250,0.0395,0.0395,0.0395,0.805,0.0059
41,1368,739.03,479.64,1190.72,863.36,detected,STATIONARY,0,blue_hsv_shape,0.0060,0.1314,1.5122,1.1812,-0.0082,0.3250,0.918,1.1634,-0.0060,0.3250,1.1812,-0.0082,0.3250,0.0395,0.0395,0.0395,0.770,0.0914
42,1401,734.66,479.03,1195.78,868.75,detected,STATIONARY,0,blue_hsv_shape,0.0064,0.1365,1.5049,1.1742,-0.0072,0.3250,0.920,1.1545,-0.0064,0.3250,1.1742,-0.0072,0.3250,0.0395,0.0395,0.0395,0.731,0.0481
