frame_id,timestamp_ms,x_world_raw_strict,y_world_raw_strict,x_world_filtered_strict,y_world_filtered_strict,x_world_raw_waypoint_calibrated,y_world_raw_waypoint_calibrated,x_world_filtered_waypoint_calibrated,y_world_filtered_waypoint_calibrated,z_world
59,1969,2.4331,-0.0579,2.3999,-0.0532,5.2363,0.0609,5.1088,0.0282,0.3250
60,2002,2.4339,-0.0605,2.4012,-0.0565,5.2433,0.0662,5.1188,0.0353,0.3250
61,2035,2.4344,-0.0627,2.4030,-0.0597,5.2486,0.0708,5.1304,0.0426,0.3250
62,2069,2.4346,-0.0648,2.4051,-0.0627,5.2527,0.0749,5.1428,0.0498,0.3250
63,2102,2.4347,-0.0658,2.4074,-0.0654,5.2546,0.0768,5.1553,0.0565,0.3250
64,2135,2.4347,-0.0661,2.4098,-0.0676,5.2550,0.0774,5.1675,0.0624,0.3250
65,2169,2.4346,-0.0671,2.4122,-0.0696,5.2563,0.0792,5.1794,0.0679,0.3250
66,2202,2.3677,-0.0660,2.4022,-0.0710,5.0126,0.0292,5.1454,0.0633,0.3250
67,2236,2.3240,-0.0651,2.3853,-0.0719,4.8530,-0.0039,5.0856,0.0528,0.3250
68,2269,2.2930,-0.0643,2.3647,-0.0723,4.7396,-0.0276,5.0116,0.0388,0.3250
69,2302,2.3524,-0.0645,2.3574,-0.0725,4.9547,0.0152,4.9856,0.0340,0.3250
70,2336,2.3943,-0.0646,2.3593,-0.0725,5.1065,0.0456,4.9923,0.0354,0.3250
71,2369,2.3426,-0.0616,2.3518,-0.0719,4.9146,0.0028,4.9643,0.0288,0.3250
72,2402,2.3082,-0.0583,2.3392,-0.0705,4.7849,-0.0281,4.9165,0.0172,0.3250
73,2436,2.2874,-0.0563,2.3245,-0.0688,4.7064,-0.0467,4.8605,0.0034,0.3250
74,2469,2.3075,-0.0550,2.3155,-0.0669,4.7769,-0.0349,4.8249,-0.0066,0.3250
75,2502,2.3068,-0.0511,2.3078,-0.0645,4.7683,-0.0426,4.7934,-0.0167,0.3250
76,2536,2.3538,-0.0466,2.3105,-0.0613,4.9313,-0.0173,4.7979,-0.0208,0.3250
77,2569,2.4231,-0.0402,2.3264,-0.0573,5.1719,0.0203,4.8492,-0.0169,0.3250
78,2603,2.4506,-0.0364,2.3464,-0.0530,5.2653,0.0329,4.9145,-0.0107,0.3250
79,2636,2.4857,-0.0301,2.3710,-0.0480,5.3826,0.0463,4.9959,-0.0024,0.3250
80,2669,2.5115,-0.0205,2.3982,-0.0418,5.4606,0.0467,5.0842,0.0054,0.3250
81,2703,2.5287,-0.0121,2.4256,-0.0348,5.5096,0.0432,5.1723,0.0119,0.3250
82,2736,2.5403,-0.0046,2.4520,-0.0272,5.5394,0.0374,5.2560,0.0167,0.3250
83,2769,2.5445,-0.0010,2.4760,-0.0200,5.5489,0.0337,5.3313,0.0203,0.3250
84,2803,2.5531,0.0046,2.4984,-0.0127,5.5712,0.0293,5.4009,0.0226,0.3250
85,2836,2.5031,0.0118,2.5084,-0.0051,5.3788,-0.0202,5.4249,0.0155,0.3250
86,2870,2.5209,0.0257,2.5197,0.0040,5.4210,-0.0336,5.4514,0.0064,0.3250
87,2903,2.5491,0.0366,2.5342,0.0139,5.5058,-0.0339,5.4882,-0.0017,0.3250
88,2936,2.5667,0.0421,2.5496,0.0234,5.5606,-0.0317,5.5287,-0.0086,0.3250
89,2970,2.5809,0.0487,2.5651,0.0327,5.6015,-0.0339,5.5698,-0.0150,0.3250
90,3003,2.5491,0.0655,2.5720,0.0437,5.4598,-0.0884,5.5776,-0.0307,0.3250
91,3036,2.5775,0.0816,2.5826,0.0560,5.5371,-0.0982,5.5960,-0.0465,0.3250
