frame_id,timestamp_ms,status,x1,y1,x2,y2,bbox_width_px,bbox_height_px,conf,detector_source,raw_x_cam,raw_y_cam,raw_z_cam,filtered_x_cam,filtered_y_cam,filtered_z_cam,raw_x_world,raw_y_world,raw_z_world,filtered_x_world,filtered_y_world,filtered_z_world,height_x_cam,height_y_cam,height_z_cam,height_x_world,height_y_world,height_z_world,ground_model_centroid_x_cam,ground_model_centroid_y_cam,ground_model_centroid_z_cam,ground_model_centroid_x_world,ground_model_centroid_y_world,ground_model_centroid_z_world,ground_contact_x_world,ground_contact_y_world,ground_contact_z_world,strict_raw_x_world,strict_raw_y_world,strict_raw_z_world,strict_filtered_x_world,strict_filtered_y_world,strict_filtered_z_world,height_ground_depth_delta_m,height_ground_world_xy_delta_m,used_height_fallback,blur_laplacian_var,brightness_mean,contrast_std,is_blurry,is_low_light,flow_points,flow_quality
10,334,detected,792.69,480.92,1142.01,805.82,349.32,324.90,0.911,blue_hsv_shape,0.0161,0.2685,2.9581,0.0161,0.2685,2.9581,2.7878,-0.0161,0.3250,2.7888,-0.0157,0.3250,0.0146,0.2054,2.7824,2.6345,-0.0146,0.4315,0.0161,0.2685,2.9581,2.7878,-0.0161,0.3250,2.7878,-0.0161,0.0000,2.7878,-0.0161,0.3250,2.7888,-0.0157,0.3250,0.1757,0.1534,0,126.7024,121.0172,74.6195,0,0,80,0.9794
11,367,detected,793.73,480.99,1144.24,808.17,350.51,327.18,0.911,blue_hsv_shape,0.0196,0.2716,2.9467,0.0196,0.2716,2.9467,2.7760,-0.0196,0.3250,2.7794,-0.0210,0.3250,0.0177,0.2063,2.7626,2.6151,-0.0177,0.4357,0.0196,0.2716,2.9467,2.7760,-0.0196,0.3250,2.7760,-0.0196,0.0000,2.7760,-0.0196,0.3250,2.7794,-0.0210,0.3250,0.1841,0.1609,0,126.4844,121.2074,74.7735,0,0,80,0.9822
12,400,detected,793.73,481.03,1148.66,810.45,354.94,329.42,0.912,blue_hsv_shape,0.0244,0.2745,2.9357,0.0244,0.2745,2.9357,2.7646,-0.0244,0.3250,2.7693,-0.0262,0.3250,0.0219,0.2072,2.7434,2.5963,-0.0219,0.4399,0.0244,0.2745,2.9357,2.7646,-0.0244,0.3250,2.7646,-0.0244,0.0000,2.7646,-0.0244,0.3250,2.7693,-0.0262,0.3250,0.1923,0.1683,0,126.7463,121.2612,74.5826,0,0,80,0.9819
13,434,detected,793.28,480.98,1151.18,811.69,357.90,330.71,0.912,blue_hsv_shape,0.0266,0.2761,2.9298,0.0266,0.2761,2.9298,2.7585,-0.0266,0.3250,2.7602,-0.0305,0.3250,0.0239,0.2075,2.7324,2.5856,-0.0239,0.4424,0.0266,0.2761,2.9298,2.7585,-0.0266,0.3250,2.7585,-0.0266,0.0000,2.7585,-0.0266,0.3250,2.7602,-0.0305,0.3250,0.1973,0.1729,0,126.7106,121.2617,74.5825,0,0,80,1.0000
14,467,detected,792.70,481.01,1152.45,813.70,359.75,332.69,0.911,blue_hsv_shape,0.0272,0.2787,2.9202,0.0272,0.2787,2.9202,2.7485,-0.0272,0.3250,2.7509,-0.0338,0.3250,0.0244,0.2082,2.7157,2.5693,-0.0244,0.4460,0.0272,0.2787,2.9202,2.7485,-0.0272,0.3250,2.7485,-0.0272,0.0000,2.7485,-0.0272,0.3250,2.7509,-0.0338,0.3250,0.2044,0.1793,0,126.9854,121.3550,74.2609,0,0,80,0.9830
15,500,detected,791.37,481.02,1155.76,815.74,364.39,334.72,0.911,blue_hsv_shape,0.0293,0.2813,2.9105,0.0293,0.2813,2.9105,2.7385,-0.0293,0.3250,2.7413,-0.0367,0.3250,0.0262,0.2089,2.6989,2.5529,-0.0262,0.4497,0.0293,0.2813,2.9105,2.7385,-0.0293,0.3250,2.7385,-0.0293,0.0000,2.7385,-0.0293,0.3250,2.7413,-0.0367,0.3250,0.2116,0.1857,0,128.2837,121.2706,74.0024,0,0,80,0.9792
16,534,detected,790.30,481.06,1157.63,818.28,367.33,337.21,0.912,blue_hsv_shape,0.0301,0.2845,2.8986,0.0301,0.2845,2.8986,2.7262,-0.0301,0.3250,2.7311,-0.0389,0.3250,0.0267,0.2098,2.6785,2.5329,-0.0267,0.4541,0.0301,0.2845,2.8986,2.7262,-0.0301,0.3250,2.7262,-0.0301,0.0000,2.7262,-0.0301,0.3250,2.7311,-0.0389,0.3250,0.2201,0.1933,0,127.5529,121.2122,73.7868,0,0,80,0.9819
17,567,detected,788.14,481.10,1159.41,821.12,371.27,340.02,0.912,blue_hsv_shape,0.0295,0.2881,2.8853,0.0295,0.2881,2.8853,2.7124,-0.0295,0.3250,2.7200,-0.0405,0.3250,0.0261,0.2108,2.6558,2.5107,-0.0261,0.4590,0.0295,0.2881,2.8853,2.7124,-0.0295,0.3250,2.7124,-0.0295,0.0000,2.7124,-0.0295,0.3250,2.7200,-0.0405,0.3250,0.2295,0.2017,0,127.5525,121.1294,73.5173,0,0,80,0.9807
18,601,detected,786.70,481.03,1160.32,822.69,373.62,341.67,0.912,blue_hsv_shape,0.0289,0.2900,2.8780,0.0289,0.2900,2.8780,2.7048,-0.0289,0.3250,2.7095,-0.0413,0.3250,0.0255,0.2111,2.6427,2.4980,-0.0255,0.4621,0.0289,0.2900,2.8780,2.7048,-0.0289,0.3250,2.7048,-0.0289,0.0000,2.7048,-0.0289,0.3250,2.7095,-0.0413,0.3250,0.2353,0.2069,0,127.5117,121.1296,73.5177,0,0,80,1.0000
19,634,detected,785.41,481.02,1161.61,824.87,376.20,343.85,0.913,blue_hsv_shape,0.0288,0.2927,2.8679,0.0288,0.2927,2.8679,2.6944,-0.0288,0.3250,2.6990,-0.0418,0.3250,0.0253,0.2118,2.6255,2.4812,-0.0253,0.4659,0.0288,0.2927,2.8679,2.6944,-0.0288,0.3250,2.6944,-0.0288,0.0000,2.6944,-0.0288,0.3250,2.6990,-0.0418,0.3250,0.2424,0.2133,0,127.1706,121.1871,73.1378,0,0,80,0.9797
