frame_id,timestamp_ms,x1,y1,x2,y2,status,track_state,occlusion_age,detector_source,x_cam,y_cam,z_cam,x_world,y_world,z_world,conf,x_world_raw,y_world_raw,z_world_raw,x_world_filt,y_world_filt,z_world_filt,sigma_x,sigma_y,sigma_z,mu_stationary,gate_d2
22,734,781.26,478.86,1166.72,830.75,detected,CONFIRMED,0,blue_hsv_shape,0.0395,0.2988,2.8453,2.6710,-0.0395,0.3250,0.911,2.6666,-0.0296,0.3250,2.6710,-0.0395,0.3250,0.0410,0.0410,0.0409,0.167,0.0194
23,767,780.51,478.38,1167.88,832.45,detected,CONFIRMED,0,blue_hsv_shape,0.0396,0.3014,2.8356,2.6610,-0.0396,0.3250,0.906,2.6587,-0.0299,0.3250,2.6610,-0.0396,0.3250,0.0407,0.0407,0.0406,0.167,0.0105
24,801,779.17,478.12,1168.33,834.73,detected,CONFIRMED,0,blue_hsv_shape,0.0392,0.3040,2.8258,2.6508,-0.0392,0.3250,0.911,2.6480,-0.0289,0.3250,2.6508,-0.0392,0.3250,0.0404,0.0404,0.0404,0.166,0.0158
25,834,777.52,477.25,1169.35,833.51,detected,CONFIRMED,0,blue_hsv_shape,0.0387,0.3058,2.8189,2.6437,-0.0387,0.3250,0.909,2.6537,-0.0283,0.3250,2.6437,-0.0387,0.3250,0.0402,0.0402,0.0402,0.190,0.0703
26,868,774.80,477.23,1172.16,839.25,detected,CONFIRMED,0,blue_hsv_shape,0.0380,0.3086,2.8086,2.6330,-0.0380,0.3250,0.910,2.6273,-0.0281,0.3250,2.6330,-0.0380,0.3250,0.0400,0.0400,0.0400,0.182,0.0675
27,901,772.70,477.16,1174.83,844.21,detected,CONFIRMED,0,blue_hsv_shape,0.0374,0.3120,2.7960,2.6200,-0.0374,0.3250,0.909,2.6047,-0.0285,0.3250,2.6200,-0.0374,0.3250,0.0399,0.0399,0.0399,0.154,0.0759
28,934,771.45,476.98,1176.42,847.12,detected,CONFIRMED,0,blue_hsv_shape,0.0367,0.3154,2.7832,2.6067,-0.0367,0.3250,0.909,2.5916,-0.0287,0.3250,2.6067,-0.0367,0.3250,0.0398,0.0398,0.0398,0.125,0.0290
29,968,769.85,476.89,1177.17,850.06,detected,CONFIRMED,0,blue_hsv_shape,0.0359,0.3189,2.7701,2.5932,-0.0359,0.3250,0.911,2.5785,-0.0278,0.3250,2.5932,-0.0359,0.3250,0.0397,0.0397,0.0397,0.098,0.0304
30,1001,768.10,476.51,1178.37,840.94,detected,CONFIRMED,0,blue_hsv_shape,0.0350,0.3199,2.7666,2.5895,-0.0350,0.3250,0.913,2.6195,-0.0275,0.3250,2.5895,-0.0350,0.3250,0.0396,0.0396,0.0396,0.158,0.6584
31,1034,766.17,476.69,1178.93,835.70,detected,CONFIRMED,0,blue_hsv_shape,0.0339,0.3193,2.7686,2.5916,-0.0339,0.3250,0.913,2.6436,-0.0263,0.3250,2.5916,-0.0339,0.3250,0.0396,0.0396,0.0396,0.263,0.5759
32,1068,764.16,477.17,1179.11,834.27,detected,CONFIRMED,0,blue_hsv_shape,0.0326,0.3183,2.7724,2.5955,-0.0326,0.3250,0.913,2.6502,-0.0245,0.3250,2.5955,-0.0326,0.3250,0.0396,0.0396,0.0396,0.373,0.3345
33,1101,763.08,477.56,1179.14,833.49,detected,CONFIRMED,0,blue_hsv_shape,0.0311,0.3170,2.7771,2.6004,-0.0311,0.3250,0.913,2.6538,-0.0234,0.3250,2.6004,-0.0311,0.3250,0.0395,0.0395,0.0395,0.480,0.2850
34,1134,761.71,478.38,1179.96,840.64,detected,CONFIRMED,0,blue_hsv_shape,0.0296,0.3174,2.7759,2.5992,-0.0296,0.3250,0.900,2.6209,-0.0226,0.3250,2.5992,-0.0296,0.3250,0.0396,0.0396,0.0396,0.523,0.0217
35,1168,759.11,478.46,1180.32,849.20,detected,CONFIRMED,0,blue_hsv_shape,0.0278,0.3193,2.7685,2.5916,-0.0278,0.3250,0.894,2.5823,-0.0200,0.3250,2.5916,-0.0278,0.3250,0.0396,0.0396,0.0396,0.504,0.1800
36,1201,756.57,478.11,1179.51,854.31,detected,CONFIRMED,0,blue_hsv_shape,0.0255,0.3221,2.7583,2.5810,-0.0255,0.3250,0.898,2.5597,-0.0164,0.3250,2.5810,-0.0255,0.3250,0.0397,0.0397,0.0397,0.461,0.1104
37,1235,753.27,477.69,1178.85,857.77,detected,CONFIRMED,0,blue_hsv_shape,0.0227,0.3251,2.7469,2.5692,-0.0227,0.3250,0.901,2.5446,-0.0123,0.3250,2.5692,-0.0227,0.3250,0.0397,0.0397,0.0397,0.411,0.0819
38,1268,751.41,477.28,1178.51,859.61,detected,CONFIRMED,0,blue_hsv_shape,0.0198,0.3281,2.7357,2.5576,-0.0198,0.3250,0.901,2.5367,-0.0101,0.3250,2.5576,-0.0198,0.3250,0.0397,0.0397,0.0397,0.368,0.0338
39,1301,747.64,476.53,1178.14,861.30,detected,CONFIRMED,0,blue_hsv_shape,0.0165,0.3310,2.7249,2.5464,-0.0165,0.3250,0.903,2.5293,-0.0058,0.3250,2.5464,-0.0165,0.3250,0.0397,0.0397,0.0397,0.331,0.0314
40,1335,743.35,476.77,1182.28,865.97,detected,CONFIRMED,0,blue_hsv_shape,0.0135,0.3344,2.7122,2.5332,-0.0135,0.3250,0.913,2.5094,-0.0057,0.3250,2.5332,-0.0135,0.3250,0.0397,0.0397,0.0397,0.282,0.1037
41,1368,739.05,476.95,1187.88,871.04,detected,CONFIRMED,0,blue_hsv_shape,0.0112,0.3384,2.6975,2.5180,-0.0112,0.3250,0.917,2.4879,-0.0069,0.3250,2.5180,-0.0112,0.3250,0.0396,0.0396,0.0396,0.220,0.1427
42,1401,734.60,476.38,1192.31,873.33,detected,CONFIRMED,0,blue_hsv_shape,0.0092,0.3422,2.6832,2.5033,-0.0092,0.3250,0.919,2.4783,-0.0069,0.3250,2.5033,-0.0092,0.3250,0.0396,0.0396,0.0396,0.170,0.0442
43,1435,732.02,475.95,1195.02,874.36,detected,CONFIRMED,0,blue_hsv_shape,0.0076,0.3456,2.6705,2.4900,-0.0076,0.3250,0.919,2.4740,-0.0070,0.3250,2.4900,-0.0076,0.3250,0.0395,0.0395,0.0395,0.138,0.0067
44,1468,729.11,475.81,1201.27,876.57,detected,CONFIRMED,0,blue_hsv_shape,0.0069,0.3489,2.6581,2.4772,-0.0069,0.3250,0.922,2.4649,-0.0103,0.3250,2.4772,-0.0069,0.3250,0.0395,0.0395,0.0395,0.115,0.0158
45,1502,725.37,475.71,1210.25,878.12,detected,CONFIRMED,0,blue_hsv_shape,0.0073,0.3520,2.6467,2.4654,-0.0073,0.3250,0.925,2.4585,-0.0154,0.3250,2.4654,-0.0073,0.3250,0.0394,0.0394,0.0394,0.103,0.0155
46,1535,721.31,475.29,1218.46,873.81,detected,CONFIRMED,0,blue_hsv_shape,0.0086,0.3536,2.6405,2.4590,-0.0086,0.3250,0.929,2.4763,-0.0197,0.3250,2.4590,-0.0086,0.3250,0.0394,0.0394,0.0394,0.140,0.1938
47,1568,716.98,475.29,1224.52,871.81,detected,CONFIRMED,0,blue_hsv_shape,0.0102,0.3545,2.6373,2.4557,-0.0102,0.3250,0.932,2.4847,-0.0214,0.3250,2.4557,-0.0102,0.3250,0.0393,0.0393,0.0393,0.200,0.1718
48,1602,714.51,475.90,1228.26,870.50,detected,CONFIRMED,0,blue_hsv_shape,0.0120,0.3548,2.6362,2.4546,-0.0120,0.3250,0.933,2.4902,-0.0227,0.3250,2.4546,-0.0120,0.3250,0.0393,0.0393,0.0393,0.274,0.1884
